ecrivain_id,ecrivain_adresse_id,ecrivain_oeuvre_id,ecrivain_nom,ecrivain_prenom,ecrivain_date_naissance,ecrivain_date_mort
1,1,1,Bounine,Ivan,1870,1953
2,2,2,Merejkovski,Dimitri,1865,1941
3,2,3,Hippius,Zinaïda,1869,1945
4,3,4,Berdiaev,Nicolas,1874,1948
5,4,5,Tsvetaeva,Marina,1892,1941
6,7,6,Khodassevitch,Vladislav,1886,1939
7,8,7,Berberova,Nina,1901,1993
8,9,8,Ivanov,Georgij,1894,1958
9,9,9,Odoevtseva,Irina,1895,1990
10,10,10,Nabokov,Vladimir,1899,1977
11,11,11,Zaïtsev,Boris,1881,1972
12,12,12,Tchervinskaja,Lydia,1907,1988
13,13,13,Poplavski,Boris,1903,1935
14,14,14,Gazdanov,Gaito,1903,1971
15,15,15,Adamovitch,Gueorgui,1892,1972
16,16,16,Knorring,Irina,1906,1943
17,17,17,Shkott,Ivan,1903,1933
