personne_id,personne_adresse_id,personne_oeuvre_id,personne_nom,personne_prenom,personne_date_naissance,personne_date_mort
1,1,,Bounine,Ivan,1870,1953
2,2,,Merejkovski,Dimitri,1865,1941
3,2,,Hippius,Zinaïda,1869,1945
4,3,,Berdiaev,Nicolas,1874,1948
5,4,,Tsvetaeva,Marina,1892,1941
6,7,,Khodassevitch,Vladislav,1886,1939
7,8,,Berberova,Nina,1901,1993
8,9,,Ivanov,Georgij,1894,1958
9,9,,Odoevtseva,Irina,1895,1990
10,10,,Nabokov,Vladimir,1899,1977
11,11,11,Zaïtsev,Boris,1881,1972
12,,,Balmont,Constantin,1867,1942
13,13,13,Poplavski,Boris,1903,1935
14,14,14,Gazdanov,Gaito,1903,1971
15,15,15,Adamovitch,Gueorgui,1892,1972
